alcohol_pct,brand,container_type,hierarchy_subtype,hierarchy_type,name,price,short_pack_size,short_pack_size_num,short_volume,standard vol,supplier_id,type,total oz,cost per oz,oz of alcohol per dollar
12.00,Four Loko,CAN,,flavored,Four Loko Watermelon,23.99,6 pack,6,24oz,24,210,flavored,144,0.17,0.72
12.00,Four Loko,CAN,,flavored,Four Loko Peach,23.99,6 pack,6,24oz,24,210,flavored,144,0.17,0.72
12.00,Four Loko,CAN,,flavored,Four Loko Fruit Punch,23.99,6 pack,6,24oz,24,210,flavored,144,0.17,0.72
5.00,Budweiser,KEG,,kegs,Budweiser Keg,139.99,1,1,15.5gal,1984,210,kegs,1984,0.07,0.71
5.00,Presidente,BOTTLE,lager,imported,Presidente,10.99,12 pack,12,12oz,12,849,imported,144,0.08,0.66
8.90,Saint Arnold,BOTTLE,IPA,domestic,Saint Arnold's Endeavour IPA,3.00,1,1,22oz,22,809,domestic,22,0.14,0.65
7.00,Ballast Point,BOTTLE,IPA,domestic,Ballast Point Grapefruit Sculpin IPA,16.49,12 pack,12,12oz,12,849,domestic,144,0.11,0.61
5.00,Budweiser,CAN,lager,domestic,Budweiser,23.66,24 pack,24,12oz,12,536,domestic,288,0.08,0.61
5.00,Budweiser,CAN,lager,domestic,Budweiser,23.67,24 pack,24,12oz,12,210,domestic,288,0.08,0.61
8.90,Saint Arnold,BOTTLE,IPA,domestic,Saint Arnold's Endeavour IPA,3.22,1,1,22oz,22,849,domestic,22,0.15,0.61
4.20,Bud Light,KEG,,kegs,Bud Light Kegs,139.99,1,1,15.5gal,1984,210,kegs,1984,0.07,0.60
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,11.38,12 pack,12,12oz,12,536,domestic,144,0.08,0.58
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,11.39,12 pack,12,12oz,12,809,domestic,144,0.08,0.58
7.20,Sierra Nevada,BOTTLE,IPA,domestic,Sierra Nevada Torpedo Extra IPA,2.99,1,1,24oz,24,849,domestic,24,0.12,0.58
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,11.98,12 pack,12,12oz,12,536,domestic,144,0.08,0.57
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,11.99,12 pack,12,12oz,12,229,domestic,144,0.08,0.57
5.00,Budweiser,CAN,lager,domestic,Budweiser,19.18,18 pack,18,12oz,12,536,domestic,216,0.09,0.56
4.20,Coors,KEG,,kegs,Coors Light Kegs,149.99,1,1,15.5gal,1984,210,kegs,1984,0.08,0.56
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,11.99,12 pack,12,12oz,12,229,domestic,144,0.08,0.55
4.40,Yuengling,KEG,,kegs,Yuengling Lager Keg,159.70,1,1,15.5gal,1984,210,kegs,1984,0.08,0.55
8.00,Ritas,CAN,cooler,domestic,RITAS Cherry-Ahh-Rita,3.68,1,1,25oz,25,849,domestic,25,0.15,0.54
8.00,Ritas,CAN,cooler,domestic,RITAS Straw-Ber-Rita,3.68,1,1,25oz,25,849,domestic,25,0.15,0.54
8.00,Ritas,CAN,cooler,domestic,RITAS Coco-Nut-Rita,3.68,1,1,25oz,25,849,domestic,25,0.15,0.54
4.80,Bitburger,CAN,pilsner,imported,Bitburger Premium Pilsner,6.00,4 pack,4,16.9oz,16.9,809,imported,67.6,0.09,0.54
4.80,,CAN,,,Lawson's Super Session 6 Pack,12.99,12 pack,12,12oz,12,698,,144,0.09,0.53
4.60,Rolling Rock,CAN,lager,domestic,Rolling Rock,12.55,12 pack,12,12oz,12,210,domestic,144,0.09,0.53
5.90,Miller,BOTTLE,,domestic,Olde English 800,4.49,1,1,40oz,40,229,domestic,40,0.11,0.53
5.00,Coors,CAN,lager,domestic,Coors Banquet,2.30,1,1,24oz,24,849,domestic,24,0.10,0.52
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,13.19,12 pack,12,12oz,12,809,domestic,144,0.09,0.52
5.00,Narragansett,CAN,lager,domestic,Narragansett Lager,9.35,6 pack,6,16oz,16,809,domestic,96,0.10,0.51
4.20,Bud Light,CAN,light lager,domestic,Bud Light,47.45,24 pack,24,24oz,24,210,domestic,576,0.08,0.51
6.00,Champion,CAN,,,Champion Variety Pack,16.99,12 pack,12,12oz,12,698,,144,0.12,0.51
6.00,Natural Light,CAN,,hard seltzer,Natural Light Seltzer Aloha Beaches,2.99,1,1,25oz,25,849,hard seltzer,25,0.12,0.50
5.00,Budweiser,CAN,lager,domestic,Budweiser,14.37,12 pack,12,12oz,12,536,domestic,144,0.10,0.50
5.00,Budweiser,CAN,lager,domestic,Budweiser,14.38,12 pack,12,12oz,12,210,domestic,144,0.10,0.50
5.00,Budweiser,CAN,lager,domestic,Budweiser,14.39,12 pack,12,12oz,12,809,domestic,144,0.10,0.50
11.00,Prairie,BOTTLE,,domestic,Prairie Vanilla Noir,15.99,6 pack,6,12oz,12,849,domestic,72,0.22,0.50
9.00,New Belgium,CAN,IPA,domestic,New Belgium Voodoo Ranger Imperial IPA,3.49,1,1,19.2oz,19.2,849,domestic,19.2,0.18,0.50
5.00,Budweiser,BOTTLE,lager,domestic,Budweiser,21.99,18 pack,18,12oz,12,229,domestic,216,0.10,0.49
4.20,Bud Light,CAN,light lager,domestic,Bud Light,24.72,24 pack,24,12oz,12,536,domestic,288,0.09,0.49
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,13.98,6 pack,6,12oz,12,210,domestic,72,0.19,0.49
4.20,Bud Light,CAN,light lager,domestic,Bud Light,24.73,24 pack,24,12oz,12,210,domestic,288,0.09,0.49
9.50,Victory Brewing Company,BOTTLE,tripel,domestic,Victory Golden Monkey,13.99,6 pack,6,12oz,12,849,domestic,72,0.19,0.49
4.20,Natural Light,CAN,,domestic,Natural Light,30.99,30 pack,30,12oz,12,536,domestic,360,0.09,0.49
4.74,Pabst,CAN,lager,domestic,Pabst Blue Ribbon,13.99,6 pack,6,24oz,24,210,domestic,144,0.10,0.49
5.00,Budweiser,CAN,lager,domestic,Budweiser,22.19,18 pack,18,12oz,12,809,domestic,216,0.10,0.49
7.00,Maine,CAN,,flavored,Maine Mule Rum & Ginger,6.95,4 pack,4,12oz,12,653,flavored,48,0.14,0.48
5.50,Foster's,CAN,ale,imported,Foster's Premium Ale,2.89,1,1,25.4oz,25.4,849,imported,25.4,0.11,0.48
7.30,Southern Tier,KEG,,kegs,Southern Tier IPA Keg,299.99,1,1,15.5gal,1984,210,kegs,1984,0.15,0.48
